data-id,城市,印象,城市游记,印象游记,景点游记,餐饮游记,购物游记,娱乐游记
23457,巍山,,91,0,0,0,0,0
144209,阳谷,,0,0,0,0,0,0
18985,薄山湖,,0,0,0,0,0,0
10507,开平,碉楼 影视开平 碉楼群 豆腐角 黄鳝饭 白切乳羊 马冈鹅 水口白菜干,739,823,668,155,0,0
63566,鹤庆,,0,0,0,0,0,0
144202,鱼台,,0,0,0,0,0,0
19414,始祖山,,0,0,0,0,0,0
18478,海陵岛,,612,0,0,0,0,0
64943,池上,,23,0,0,0,0,0
140763,安丘,,0,0,0,0,0,0
31559,康百万庄园,,0,0,0,0,0,0
18929,南澳岛,,464,0,0,0,0,0
145863,太麻里,,0,0,0,0,0,0
144182,庆云,,0,0,0,0,0,0
27233,神农山,,0,0,0,0,0,0
145844,狮子,,0,0,0,0,0,0
144213,郯城,,0,0,0,0,0,0
10447,梅州,,484,0,0,0,0,0
175661,石龙区,,0,0,0,0,0,0
145858,关山,,0,0,0,0,0,0
144205,高唐,,0,0,0,0,0,0
18341,从化,,0,0,0,0,0,0
10734,殷墟,,38,0,0,0,0,0
176105,兰陵县,,0,0,0,0,0,0
64926,埔里,,20,0,0,0,0,0
22113,南雄,,500,0,0,0,0,0
18903,小浪底,,0,0,0,0,0,0
144214,莱西,,0,0,0,0,0,0
145853,枋寮,石斑鱼 樱花虾 油鱼子 休闲码头,0,0,0,0,0,0
21947,万仙山,,81,0,0,0,0,0
18253,惠东,,538,0,0,0,0,0
144186,广饶,,0,0,0,0,0,0
19937,永泰寺,,0,0,0,0,0,0
13022,河源,,368,0,0,0,0,0
64867,苏澳,,0,0,0,0,0,0
144194,巨野,,0,0,0,0,0,0
64932,水上乡,,0,0,0,0,0,0
10774,呼伦贝尔,草原 俄罗斯风情 森林 骑马 奶茶 手扒肉 蘑菇 俄餐 风干牛肉干,10316,4853,3299,715,321,518
144187,垦利,,0,0,0,0,0,0
19896,外伶仃岛,,478,0,0,0,0,0
144216,昌乐,,0,0,0,0,0,0
75784,乌来,,0,0,0,0,0,0
10390,阿尔山,四季风景如画 阿尔山国家森林公园 温泉泡汤 蘑菇 蒙古奶茶 手把肉 奶制品 涮羊肉 哈拉哈河漂流,2425,1193,687,156,153,197
11446,汕尾,海岛 餐厅 擂茶 菜稞 猪油糖 佛手 马驳丸 汕戏,423,81,69,12,0,0
144203,泗水县,,0,0,0,0,0,0
141503,河口瑶族自治县,,33,0,0,0,0,0
16785,增城,,0,0,0,0,0,0
10456,额济纳旗,金色胡杨林 古迹遗址 策克口岸 沙漠娱乐 沙漠玫瑰 蜜瓜 沙葱 肉苁蓉 烩羊杂碎,2532,1366,990,34,240,102
84544,肥城,,0,0,0,0,0,0
21790,白沙古镇,,68,0,0,0,0,0
15702,英德,,427,0,0,0,0,0
11415,呼和浩特,,969,0,0,0,0,0
64375,桓台,,0,0,0,0,0,0
63579,昆明安宁,,0,0,0,0,0,0
167207,珠海横琴长隆国际海洋度假区,,0,0,0,0,0,0
140762,惠民县,,0,0,0,0,0,0
17920,乌兰布统,草原风光 摄影天堂 古战场 骑马 草原越野车 烤全羊 烤羊腿 射箭,2100,1371,948,85,0,338
22786,禄劝,,51,0,0,0,0,0
141310,潮汕,,295,0,0,0,0,0
144189,曹县,,0,0,0,0,0,0
